ICD3;Name_deutsch;Name_englisch;Cluster
S87;Zerquetschung des Unterschenkels;Crushing injury of lower leg;
S88;Traumatische Amputation am Unterschenkel;Traumatic amputation of lower leg;4
S89;Sonstige und nicht näher bezeichnete Verletzungen des Unterschenkels;Other and unspecified injuries of lower leg;4
S90;Oberflächliche Verletzung der Knöchelregion und des Fußes;Superficial injury of ankle, foot and toes;0
S91;Offene Wunde der Knöchelregion und des Fußes;Open wound of ankle, foot and toes;4
S92;Fraktur des Fußes [ausgenommen oberes Sprunggelenk];Fracture of foot and toe, except ankle;4
S93;Luxation, Verstauchung und Zerrung der Gelenke und Bänder in Höhe des oberen Sprunggelenkes und des Fußes;Dislocation and sprain of joints and ligaments at ankle, foot and toe level;0
S94;Verletzung von Nerven in Höhe des Knöchels und des Fußes;Injury of nerves at ankle and foot level;3
S95;Verletzung von Blutgefäßen in Höhe des Knöchels und des Fußes;Injury of blood vessels at ankle and foot level;3
S96;Verletzung von Muskeln und Sehnen in Höhe des Knöchels und des Fußes;Injury of muscle and tendon at ankle and foot level;4
S97;Zerquetschung des oberen Sprunggelenkes und des Fußes;Crushing injury of ankle and foot;3
S98;Traumatische Amputation am oberen Sprunggelenk und Fuß;Traumatic amputation of ankle and foot;4
S99;Sonstige und nicht näher bezeichnete Verletzungen der Knöchelregion unddes Fußes;Other and unspecified injuries of ankle and foot;4
T00;Oberflächliche Verletzungen mit Beteiligung mehrerer Körperregionen;Superficial injuries involving multiple body regions;4
T01;Offene Wunden mit Beteiligung mehrerer Körperregionen;Open wounds involving multiple body regions;4
T02;Frakturen mit Beteiligung mehrerer Körperregionen;Fractures involving multiple body regions;4
T03;Luxationen, Verstauchungen und Zerrungen mit Beteiligung mehrerer Körperregionen;Dislocations, sprains and strains involving multiple body regions;4
T04;Zerquetschungen mit Beteiligung mehrerer Körperregionen;Crushing injuries involving multiple body regions;
T05;Traumatische Amputationen mit Beteiligung mehrerer Körperregionen;Traumatic amputations involving multiple body regions;0
T06;Sonstige Verletzungen mit Beteiligung mehrerer Körperregionen, anderenorts nicht klassifiziert;Other injuries involving multiple body regions, not elsewhere classified;3
T07;Nicht näher bezeichnete multiple Verletzungen;Unspecified multiple injuries;4
T08;Fraktur der Wirbelsäule, Höhe nicht näher bezeichnet [4. Stelle: .0-.1];Fracture of spine, level unspecified;1
T09;Sonstige Verletzungen der Wirbelsäule und des Rumpfes, Höhe nicht näherbezeichnet;Other injuries of spine and trunk, level unspecified;1
T10;Fraktur der oberen Extremität, Höhe nicht näher bezeichnet [4. Stelle: .0-.1];Fracture of upper limb, level unspecified;4
T11;Sonstige Verletzungen der oberen Extremität, Höhe nicht näher bezeichnet;Other injuries of upper limb, level unspecified;4
T12;Fraktur der unteren Extremität, Höhe nicht näher bezeichnet [4. Stelle:.0-.1];Fracture of lower limb, level unspecified;4
T13;Sonstige Verletzungen der unteren Extremität, Höhe nicht näher bezeichnet;Other injuries of lower limb, level unspecified;4
T14;Verletzung an einer nicht näher bezeichneten Körperregion;Injury of unspecified body region;0
T15;Fremdkörper im äußeren Auge;Foreign body on external eye;4
T16;Fremdkörper im Ohr;Foreign body in ear;0
T17;Fremdkörper in den Atemwegen;Foreign body in respiratory tract;4
T18;Fremdkörper im Verdauungstrakt;Foreign body in alimentary tract;4
T19;Fremdkörper im Urogenitaltrakt;Foreign body in genitourinary tract;4
T20;Verbrennung oder Verätzung des Kopfes und des Halses;Burn and corrosion of head, face, and neck;0
T21;Verbrennung oder Verätzung des Rumpfes;Burn and corrosion of trunk;4
T22;Verbrennung oder Verätzung der Schulter und des Armes, ausgenommen Handgelenk und Hand;Burn and corrosion of shoulder and upper limb, except wrist and hand;4
T23;Verbrennung oder Verätzung des Handgelenkes und der Hand;Burn and corrosion of wrist and hand;4
T24;Verbrennung oder Verätzung der Hüfte und des Beines, ausgenommen Knöchelregion und Fuß;Burn and corrosion of lower limb, except ankle and foot;4
T25;Verbrennung oder Verätzung der Knöchelregion und des Fußes;Burn and corrosion of ankle and foot;0
T26;Verbrennung oder Verätzung, begrenzt auf das Auge und seine Anhangsgebilde;Burn and corrosion confined to eye and adnexa;4
T27;Verbrennung oder Verätzung der Atemwege;Burn and corrosion of respiratory tract;
T28;Verbrennung oder Verätzung sonstiger innerer Organe;Burn and corrosion of other internal organs;4
T29;Verbrennungen oder Verätzungen mehrerer Körperregionen;Burns and corrosions of multiple body regions;
T30;Verbrennung oder Verätzung, Körperregion nicht näher bezeichnet;Burn and corrosion, body region unspecified;0
T31;Verbrennungen, klassifiziert nach dem Ausmaß der betroffenen Körperoberfläche;Burns classified according to extent of body surface involved;4
T32;Verätzungen, klassifiziert nach dem Ausmaß der betroffenen Körperoberfläche;Corrosions classified according to extent of body surface involved;
T33;Oberflächliche Erfrierung;Superficial frostbite;4
T34;Erfrierung mit Gewebsnekrose;Frostbite with tissue necrosis;
T35;Erfrierung mit Beteiligung mehrerer Körperregionen und nicht näher bezeichnete Erfrierung;Frostbite involving multiple body regions and unspecified frostbite;1
T36;Vergiftung durch systemisch wirkende Antibiotika;Poisoning by, adverse effect of and underdosing of systemic antibiotics;5
T37;Vergiftung durch sonstige systemisch wirkende Antiinfektiva und Antiparasitika;Poisoning by, adverse effect of and underdosing of other systemic anti- infectives and antiparasitics;
T38;Vergiftung durch Hormone und deren synthetische Ersatzstoffe und Antagonisten, anderenorts nicht klassifiziert;Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified;4
T39;Vergiftung durch nichtopioidhaltige Analgetika, Antipyretika und Antirheumatika;Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics;4
T40;Vergiftung durch Betäubungsmittel und Psychodysleptika [Halluzinogene];Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens];4
T41;Vergiftung durch Anästhetika und therapeutische Gase;Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases;3
T42;Vergiftung durch Antiepileptika, Sedativa, Hypnotika und Antiparkinsonmittel;Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs;4
T43;Vergiftung durch psychotrope Substanzen, anderenorts nicht klassifiziert;Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified;4
T44;Vergiftung durch primär auf das autonome Nervensystem wirkende Arzneimittel;Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system;
T45;Vergiftung durch primär systemisch und auf das Blut wirkende Mittel, anderenorts nicht klassifiziert;Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified;4
T46;Vergiftung durch primär auf das Herz-Kreislaufsystem wirkende Mittel;Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system;2
T47;Vergiftung durch primär auf den Magen-Darmtrakt wirkende Mittel;Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system;1
T48;Vergiftung durch primär auf die glatte Muskulatur, die Skelettmuskulaturund das Atmungssystem wirkende Mittel;Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system;
T49;Vergiftung durch primär auf Haut und Schleimhäute wirkende und in der Augen-, der Hals-Nasen-Ohren- und der Zahnheilkunde angewendete Mittel zur topischen Anwendung;Poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs;5
T50;Vergiftung durch Diuretika und sonstige und nicht näher bezeichnete Arzneimittel, Drogen und biologisch aktive Substanzen;Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances;4
T51;Toxische Wirkung von Alkohol;Toxic effect of alcohol;4
T52;Toxische Wirkung von organischen Lösungsmitteln;Toxic effect of organic solvents;
T53;Toxische Wirkung von halogenierten aliphatischen und aromatischen Kohlenwasserstoffen;Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons;
T54;Toxische Wirkung von ätzenden Substanzen;Toxic effect of corrosive substances;3
T55;Toxische Wirkung von Seifen und Detergenzien;Toxic effect of soaps and detergents;
T56;Toxische Wirkung von Metallen;Toxic effect of metals;4
T57;Toxische Wirkung von sonstigen anorganischen Substanzen;Toxic effect of other inorganic substances;
T58;Toxische Wirkung von Kohlenmonoxid;Toxic effect of carbon monoxide;0
T59;Toxische Wirkung sonstiger Gase, Dämpfe oder sonstigen Rauches;Toxic effect of other gases, fumes and vapors;4
T60;Toxische Wirkung von Schädlingsbekämpfungsmitteln [Pestiziden];Toxic effect of pesticides;
T61;Toxische Wirkung schädlicher Substanzen, die mit essbaren Meerestieren aufgenommen wurden;Toxic effect of noxious substances eaten as seafood;4
T62;Toxische Wirkung sonstiger schädlicher Substanzen, die mit der Nahrung aufgenommen wurden;Toxic effect of other noxious substances eaten as food;0
T63;Toxische Wirkung durch Kontakt mit giftigen Tieren;Toxic effect of contact with venomous animals and plants;0
T64;Toxische Wirkung von Aflatoxin und sonstigem Mykotoxin in kontaminiertenLebensmitteln;Toxic effect of aflatoxin and other mycotoxin food contaminants;
T65;Toxische Wirkung sonstiger und nicht näher bezeichneter Substanzen;Toxic effect of other and unspecified substances;4
T66;Nicht näher bezeichnete Schäden durch Strahlung;Radiation sickness, unspecified;4
T67;Schäden durch Hitze und Sonnenlicht;Effects of heat and light;4
T68;Hypothermie;Hypothermia;4
T69;Sonstige Schäden durch niedrige Temperatur;Other effects of reduced temperature;4
T70;Schäden durch Luft- und Wasserdruck;Effects of air pressure and water pressure;0
T71;Erstickung;Asphyxiation;
T73;Schäden durch sonstigen Mangel;Effects of other deprivation;4
T74;Missbrauch von Personen;Adult and child abuse, neglect and other maltreatment, confirmed;4
T75;Schäden durch sonstige äußere Ursachen;Other and unspecified effects of other external causes;4
T76;;Adult and child abuse, neglect and other maltreatment, suspected;
T78;Unerwünschte Nebenwirkungen, anderenorts nicht klassifiziert;Adverse effects, not elsewhere classified;0
T79;Bestimmte Frühkomplikationen eines Traumas, anderenorts nicht klassifiziert;Certain early complications of trauma, not elsewhere classified;1
T80;Komplikationen nach Infusion, Transfusion oder Injektion zu therapeutischen Zwecken;Complications following infusion, transfusion and therapeutic injection;1
T81;Komplikationen bei Eingriffen, anderenorts nicht klassifiziert;Complications of procedures, not elsewhere classified;1
T82;Komplikationen durch Prothesen, Implantate oder Transplantate im Herzenund in den Gefäßen;Complications of cardiac and vascular prosthetic devices, implants and grafts;1
T83;Komplikationen durch Prothesen, Implantate oder Transplantate im Urogenitaltrakt;Complications of genitourinary prosthetic devices, implants and grafts;1
T84;Komplikationen durch orthopädische Endoprothesen, Implantate oder Transplantate;Complications of internal orthopedic prosthetic devices, implants and grafts;1
T85;Komplikationen durch sonstige interne Prothesen, Implantate oder Transplantate;Complications of other internal prosthetic devices, implants and grafts;1
T86;Versagen und Abstoßung von transplantierten Organen und Geweben;Complications of transplanted organs and tissue;2
T87;Komplikationen, die für Replantation und Amputation bezeichnend sind;Complications peculiar to reattachment and amputation;4
T88;Sonstige Komplikationen bei chirurgischen Eingriffen und medizinischer Behandlung, anderenorts nicht klassifiziert;Other complications of surgical and medical care, not elsewhere classified;3
T89;Sonstige näher bezeichnete Komplikationen eines Traumas;Other specified complications of trauma;4
T90;Folgen von Verletzungen des Kopfes;Sequelae of injuries of head;4
T91;Folgen von Verletzungen des Halses und des Rumpfes;Sequelae of injuries of neck and trunk;4
T92;Folgen von Verletzungen der oberen Extremität;Sequelae of injuries of upper limb;4
T93;Folgen von Verletzungen der unteren Extremität;Sequelae of injuries of lower limb;4
T94;Folgen von Verletzungen mehrerer oder nicht näher bezeichneter Körperregionen;Sequelae of injuries involving multiple and unspecified body regions;4
T95;Folgen von Verbrennungen, Verätzungen oder Erfrierungen;Sequelae of burns, corrosions and frostbite;3
T96;Folgen einer Vergiftung durch Arzneimittel, Drogen und biologisch aktiveSubstanzen;Sequelae of poisoning by drugs, medicaments and biological substances;0
T97;Folgen toxischer Wirkungen von vorwiegend nicht medizinisch verwendetenSubstanzen;Sequelae of toxic effects of substances chiefly nonmedicinal as to source;
T98;Folgen sonstiger und nicht näher bezeichneter Wirkungen äußerer Ursachen;Sequelae of other and unspecified effects of external causes;0
U04;Schweres akutes respiratorisches Syndrom [SARS];Severe acute respiratory syndrome [SARS];
U05;Nicht belegte Schlüsselnummer U05;Unused code U05;
U06;Nicht belegte Schlüsselnummer U06;Unused code U06;
U07;Nicht belegte Schlüsselnummer U07;Unused code U07;
U50;Motorische Funktionseinschränkung;Limitation of motor control;1
U51;Kognitive Funktionseinschränkung;Limitation of cognitive cotrol;1
U52;Frührehabilitations-Barthel-Index [FRB];Early rahabilitation Barthel scale;4
U55;Erfolgte Registrierung zur Organtransplantation;Successful registration for organ transplantation;
U60;Klinische Kategorien der HIV-Krankheit;CDC classification of human immunodeficiency virus [HIV] disease;4
U61;Anzahl der T-Helferzellen bei HIV-Krankheit;Count of T helper cells in human immunodeficiency virus [HIV] disease;
U69;Sonstige sekundäre Schlüsselnummern für besondere Zwecke;Other secondary codes for special purpose;1
U80;Erreger mit bestimmten Antibiotikaresistenzen, die besondere therapeutische oder hygienische Maßnahmen erfordern;Agent resistant to penicillin and related antibiotics;1
U81;Bakterien mit Multiresistenz gegen Antibiotika;Agent resistant to vancomycin and related antibiotics;4
U82;Mykobakterien mit Resistenz gegen Antituberkulotika (Erstrangmedikamente);Mycobactera resitant to antitubercular agents (first-line therapy);
U83;Candida mit Resistenz gegen Fluconazol oder Voriconazol;Candida resistant to fluconazole or voriconazole;
U84;Herpesviren mit Resistenz gegen Virustatika;Herpesviral infections resistant to antiviral drugs;
U85;Humanes Immundefizienz-Virus mit Resistenz gegen Virustatika oder Proteinaseinhibitoren;Human immunodeficiency virus [HIV] resistant to antiviral drugs or protease inhibitors;
U99;Nicht belegte Schlüsselnummer U99;Unused code U99;
V00;;Pedestrian conveyance accident;
V01;;Pedestrian injured in collision with pedal cycle;
V02;;Pedestrian injured in collision with two- or three-wheeled motor vehicle;
V03;;Pedestrian injured in collision with car, pick-up truck or van;
V04;;Pedestrian injured in collision with heavy transport vehicle or bus;
V05;;Pedestrian injured in collision with railway train or railway vehicle;
V06;;Pedestrian injured in collision with other nonmotor vehicle;
V09;;Pedestrian injured in other and unspecified transport accidents;
V10;;Pedal cycle rider injured in collision with pedestrian or animal;
V11;;Pedal cycle rider injured in collision with other pedal cycle;
V12;;Pedal cycle rider injured in collision with two- or three-wheeled motor vehicle;
V13;;Pedal cycle rider injured in collision with car, pick-up truck or van;
V14;;Pedal cycle rider injured in collision with heavy transport vehicle or bus;
V15;;Pedal cycle rider injured in collision with railway train or railway vehicle;
V16;;Pedal cycle rider injured in collision with other nonmotor vehicle;
V17;;Pedal cycle rider injured in collision with fixed or stationary object;
V18;;Pedal cycle rider injured in noncollision transport accident;
V19;;Pedal cycle rider injured in other and unspecified transport accidents;
V20;;Motorcycle rider injured in collision with pedestrian or animal;
V21;;Motorcycle rider injured in collision with pedal cycle;
V22;;Motorcycle rider injured in collision with two- or three-wheeled motor vehicle;
V23;;Motorcycle rider injured in collision with car, pick-up truck or van;
V24;;Motorcycle rider injured in collision with heavy transport vehicle or bus;
V25;;Motorcycle rider injured in collision with railway train or railway vehicle;
V26;;Motorcycle rider injured in collision with other nonmotor vehicle;
V27;;Motorcycle rider injured in collision with fixed or stationary object;
V28;;Motorcycle rider injured in noncollision transport accident;
V29;;Motorcycle rider injured in other and unspecified transport accidents;
V30;;Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal;
V31;;Occupant of three-wheeled motor vehicle injured in collision with pedal cycle;
V32;;Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle;
V33;;Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van;
V34;;Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus;
V35;;Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle;
V36;;Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle;
V37;;Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object;
V38;;Occupant of three-wheeled motor vehicle injured in noncollision transport accident;
V39;;Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents;
V40;;Car occupant injured in collision with pedestrian or animal;
V41;;Car occupant injured in collision with pedal cycle;
V42;;Car occupant injured in collision with two- or three-wheeled motor vehicle;
V43;;Car occupant injured in collision with car, pick-up truck or van;
V44;;Car occupant injured in collision with heavy transport vehicle or bus;
V45;;Car occupant injured in collision with railway train or railway vehicle;
V46;;Car occupant injured in collision with other nonmotor vehicle;
V47;;Car occupant injured in collision with fixed or stationary object;
V48;;Car occupant injured in noncollision transport accident;
V49;;Car occupant injured in other and unspecified transport accidents;
V50;;Occupant of pick-up truck or van injured in collision with pedestrian or animal;
V51;;Occupant of pick-up truck or van injured in collision with pedal cycle;
V52;;Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle;
V53;;Occupant of pick-up truck or van injured in collision with car, pick-up truck or van;
V54;;Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus;
V55;;Occupant of pick-up truck or van injured in collision with railway train or railway vehicle;
V56;;Occupant of pick-up truck or van injured in collision with other nonmotor vehicle;
V57;;Occupant of pick-up truck or van injured in collision with fixed or stationary object;
V58;;Occupant of pick-up truck or van injured in noncollision transport accident;
V59;;Occupant of pick-up truck or van injured in other and unspecified transport accidents;
V60;;Occupant of heavy transport vehicle injured in collision with pedestrian or animal;
V61;;Occupant of heavy transport vehicle injured in collision with pedal cycle;
V62;;Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle;
V63;;Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van;
V64;;Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus;
V65;;Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle;
V66;;Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle;
V67;;Occupant of heavy transport vehicle injured in collision with fixed or stationary object;
V68;;Occupant of heavy transport vehicle injured in noncollision transport accident;
V69;;Occupant of heavy transport vehicle injured in other and unspecified transport accidents;
V70;;Bus occupant injured in collision with pedestrian or animal;
V71;;Bus occupant injured in collision with pedal cycle;
V72;;Bus occupant injured in collision with two- or three-wheeled motor vehicle;
V73;;Bus occupant injured in collision with car, pick-up truck or van;
V74;;Bus occupant injured in collision with heavy transport vehicle or bus;
V75;;Bus occupant injured in collision with railway train or railway vehicle;
V76;;Bus occupant injured in collision with other nonmotor vehicle;
V77;;Bus occupant injured in collision with fixed or stationary object;
V78;;Bus occupant injured in noncollision transport accident;
V79;;Bus occupant injured in other and unspecified transport accidents;
V80;;Animal-rider or occupant of animal-drawn vehicle injured in transport accident;
V81;;Occupant of railway train or railway vehicle injured in transport accident;
V82;;Occupant of powered streetcar injured in transport accident;
V83;;Occupant of special vehicle mainly used on industrial premises injured in transport accident;
V84;;Occupant of special vehicle mainly used in agriculture injured in transport accident;
V85;;Occupant of special construction vehicle injured in transport accident;
V86;;Occupant of special all-terrain or other off-road motor vehicle, injured in transport accident;
V87;;Traffic accident of specified type but victim's mode of transport unknown;
V88;;Nontraffic accident of specified type but victim's mode of transport unknown;
V89;;Motor- or nonmotor-vehicle accident, type of vehicle unspecified;
V90;;Drowning and submersion due to accident to watercraft;
V91;;Other injury due to accident to watercraft;
V92;;Drowning and submersion due to accident on board watercraft, without accident to watercraft;
V93;;Other injury due to accident on board watercraft, without accident to watercraft;
V94;;Other and unspecified water transport accidents;
V95;;Accident to powered aircraft causing injury to occupant;
V96;;Accident to nonpowered aircraft causing injury to occupant;
V97;;Other specified air transport accidents;
V98;;Other specified transport accidents;
V99;Transportmittelunfall;Unspecified transport accident;4
W00;;Fall due to ice and snow;
W01;;Fall on same level from slipping, tripping and stumbling;
W02;;deactivated;
W03;;Other fall on same level due to collision with another person;
W04;;Fall while being carried or supported by other persons;
W05;;Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter;
W06;;Fall from bed;
W07;;Fall from chair;
W08;;Fall from other furniture;
W09;;Fall on and from playground equipment;
W10;;Fall on and from stairs and steps;
W11;;Fall on and from ladder;
W12;;Fall on and from scaffolding;
W13;;Fall from, out of or through building or structure;
W14;;Fall from tree;
W15;;Fall from cliff;
W16;;Fall, jump or diving into water;
W17;;Other fall from one level to another;
W18;;Other slipping, tripping and stumbling and falls;
W19;;Unspecified fall;
W20;;Struck by thrown, projected or falling object;
W21;;Striking against or struck by sports equipment;
W22;;Striking against or struck by other objects;
W23;;Caught, crushed, jammed or pinched in or between objects;
W24;;Contact with lifting and transmission devices, not elsewhere classified;
W25;;Contact with sharp glass;
W26;;Contact with knife, sword or dagger;
W27;;Contact with nonpowered hand tool;
W28;;Contact with powered lawn mower;
W29;;Contact with other powered hand tools and household machinery;
W30;;Contact with agricultural machinery;
W31;;Contact with other and unspecified machinery;
W32;;Accidental handgun discharge and malfunction;
W33;;Accidental rifle, shotgun and larger firearm discharge and malfunction;
W34;;Accidental discharge and malfunction from other and unspecified firearms and guns;
W35;;Explosion and rupture of boiler;
W36;;Explosion and rupture of gas cylinder;
W37;;Explosion and rupture of pressurized tire, pipe or hose;
W38;;Explosion and rupture of other specified pressurized devices;
W39;;Discharge of firework;
W40;;Explosion of other materials;
W41;;deactivated;
W42;;Exposure to noise;
W43;;deactivated;
W44;;deactivated;
W45;;Foreign body or object entering through skin;
W46;;Contact with hypodermic needle;
W49;Exposition gegenüber mechanischen Kräften unbelebter Objekte;Exposure to other inanimate mechanical forces;4
W50;;Accidental hit, strike, kick, twist, bite or scratch by another person;
W51;;Accidental striking against or bumped into by another person;
W52;;Crushed, pushed or stepped on by crowd or human stampede;
W53;;Contact with rodent;
W54;;Contact with dog;
W55;;Contact with other mammals;
W56;;Contact with nonvenomous marine animal;
W57;;Bitten or stung by nonvenomous insect and other nonvenomous arthropods;
W58;;Contact with crocodile or alligator;
W59;;Contact with other nonvenomous reptiles;
W60;;Contact with nonvenomous plant thorns and spines and sharp leaves;
W61;;Contact with birds (domestic) (wild);
W62;;Contact with nonvenomous amphibians;
W64;Exposition gegenüber mechanischen Kräften belebter Objekte;Exposure to other animate mechanical forces;4
W65;;Accidental drowning and submersion while in bath-tub;
W66;;deactivated;
W67;;Accidental drowning and submersion while in swimming-pool;
W68;;deactivated;
W69;;Accidental drowning and submersion while in natural water;
W70;;deactivated;
W73;;Other specified cause of accidental non-transport drowning and submersion;
W74;;Unspecified cause of accidental drowning and submersion;
W75;;deactivated;
W78;;deactivated;
W79;;deactivated;
W81;;deactivated;
W83;;deactivated;
W84;;deactivated;
W85;;Exposure to electric transmission lines;
W86;;Exposure to other specified electric current;
W87;Exposition gegenüber elektrischem Strom;Exposure to electric current;
W88;;Exposure to ionizing radiation;
W89;;Exposure to man-made visible and ultraviolet light;
W90;;Exposure to other nonionizing radiation;
W91;Exposition gegenüber Strahlung;Exposure to radiation;
W92;Exposition gegenüber übermäßiger, künstlich erzeugter Hitze;Exposure to excessive heat of man-made origin;
W93;Exposition gegenüber übermäßiger, künstlich erzeugter Kälte;Exposure to excessive cold of man-made origin;
W94;Exposition gegenüber hohem oder niedrigem Luftdruck oder Luftdruckwechsel;Exposure to high and low air pressure and changes in air pressure;
W99;;Exposure to other man-made environmental factors;
X00;;Exposure to uncontrolled fire in building or structure;
X01;;Exposure to uncontrolled fire, not in building or structure;
X02;;Exposure to controlled fire in building or structure;
X03;;Exposure to controlled fire, not in building or structure;
X04;;Exposure to ignition of highly flammable material;
X05;;Exposure to ignition or melting of nightwear;
X06;;Exposure to ignition or melting of other clothing and apparel;
X08;;Exposure to other specified smoke, fire and flames;
X09;;deactivated;
X10;;Contact with hot drinks, food, fats and cooking oils;
X11;;Contact with hot tap-water;
X12;;Contact with other hot fluids;
X13;;Contact with steam and other hot vapors;
X14;;Contact with hot air and other hot gases;
X15;;Contact with hot household appliances;
X16;;Contact with hot heating appliances, radiators and pipes;
X17;;Contact with hot engines, machinery and tools;
X18;;Contact with other hot metals;
X19;Verbrennung oder Verbrühung durch Hitze oder heiße Substanzen;Contact with other heat and hot substances;3
X20;;deactivated;
X29;Kontakt mit giftigen Tieren und Pflanzen;Contact with unspecified venomous animal or plant;
X30;;Exposure to excessive natural heat;
X31;;Exposure to excessive natural cold;
X32;;Exposure to sunlight;
X34;;Earthquake;
X35;;Volcanic eruption;
X36;;Avalanche, landslide and other earth movements;
X37;;Cataclysmic storm;
X38;;Flood;
X39;;Exposure to other forces of nature;
X49;Akzidentelle Vergiftung durch und Exposition gegenüber schädliche(n) Substanzen;Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances;
X52;;Prolonged stay in weightless environment;
X53;;deactivated;
X54;;deactivated;
X57;;deactivated;
X58;;Exposure to other specified factors;
X59;Akzidentelle Exposition gegenüber sonstigen und nicht näher bezeichnetenFaktoren;Exposure to unspecified factor;4
X60;;deactivated;
X70;;deactivated;
X71;;Intentional self-harm by drowning and submersion;
X72;;Intentional self-harm by handgun discharge;
X73;;Intentional self-harm by rifle, shotgun and larger firearm discharge;
X74;;Intentional self-harm by other and unspecified firearm and gun discharge;
X75;;Intentional self-harm by explosive material;
X76;;Intentional self-harm by smoke, fire and flames;
X77;;Intentional self-harm by steam, hot vapors and hot objects;
X78;;Intentional self-harm by sharp object;
X79;;Intentional self-harm by blunt object;
X80;;Intentional self-harm by jumping from a high place;
X81;;Intentional self-harm by jumping or lying in front of moving object;
X82;;Intentional self-harm by crashing of motor vehicle;
X83;;Intentional self-harm by other specified means;
X84;Absichtliche Selbstbeschädigung;Intentional self-harm;4
X85;;deactivated;
X91;;deactivated;
X92;;Assault by drowning and submersion;
X93;;Assault by handgun discharge;
X94;;Assault by rifle, shotgun and larger firearm discharge;
X95;;Assault by other and unspecified firearm and gun discharge;
X96;;Assault by explosive material;
X97;;Assault by smoke, fire and flames;
X98;;Assault by steam, hot vapors and hot objects;
X99;;Assault by sharp object;
Y00;;Assault by blunt object;
Y01;;Assault by pushing from high place;
Y02;;Assault by pushing or placing victim in front of moving object;
Y03;;Assault by crashing of motor vehicle;
Y04;;Assault by bodily force;
Y05;;deactivated;
Y06;;deactivated;
Y07;;Perpetrator of assault, maltreatment and neglect;
Y08;;Assault by other specified means;
Y09;Tätlicher Angriff;Assault by unspecified means;4
Y10;;deactivated;
Y20;;deactivated;
Y21;;Drowning and submersion, undetermined intent;
Y22;;Handgun discharge, undetermined intent;
Y23;;Rifle, shotgun and larger firearm discharge, undetermined intent;
Y24;;Other and unspecified firearm discharge, undetermined intent;
Y25;;Contact with explosive material, undetermined intent;
Y26;;Exposure to smoke, fire and flames, undetermined intent;
Y27;;Contact with steam, hot vapors and hot objects, undetermined intent;
Y28;;Contact with sharp object, undetermined intent;
Y29;;Contact with blunt object, undetermined intent;
Y30;;Falling, jumping or pushed from a high place, undetermined intent;
Y31;;Falling, lying or running before or into moving object, undetermined intent;
Y32;;Crashing of motor vehicle, undetermined intent;
Y33;;Other specified events, undetermined intent;
Y34;Nicht näher bezeichnetes Ereignis, Umstände unbestimmt;Unspecified event, undetermined intent;3
Y35;Verletzungen bei gesetzlichen Maßnahmen;Legal intervention;
Y36;Verletzungen durch Kriegshandlungen;Operations of war;1
Y37;;Military operations;
Y38;;Terrorism;
Y57;Unerwünschte Nebenwirkungen bei therapeutischer Anwendung von Arzneimitteln und Drogen;Other and unspecified drugs and medicaments;1
Y59;Unerwünschte Nebenwirkungen bei therapeutischer Anwendung von Impfstoffen oder biologisch aktiven Substanzen;Other and unspecified vaccines and biological substances;
Y60;;deactivated;
Y61;;deactivated;
Y62;;Failure of sterile precautions during surgical and medical care;
Y63;;Failure in dosage during surgical and medical care;
Y64;;Contaminated medical or biological substances;
Y65;;Other misadventures during surgical and medical care;
Y66;;Nonadministration of surgical and medical care;
